,titulo,link,Marca,Linha,Modelo,Memória interna,Memória RAM,Com ranhura para cartão de memória,Nome do sistema operacional,Versão original do sistema operacional,Última versão compatível do sistema operacional,Resolução da câmera traseira principal,Resolução de vídeo da câmera traseira,Resolução da câmera frontal principal,Com câmera,Quantidade de câmeras traseiras,Abertura do diafragma da câmera traseira,Quantidade de câmeras frontais,Resolução de vídeo da câmera frontal,Abertura do diafragma da câmera frontal,Com flash na câmara frontal,Zoom digital,Com leitor de impressão digital,Com reconhecimento facial,Rede,Tipo de conector de carregamento,Com conector USB,Com jack 3.5,Com Wi-Fi,Com GPS,Com Bluetooth,Com NFC,Com mini HDMI,Com radio,Com sintonizador de TV,Com IMEI,Operadora,É Dual SIM,Quantidade de ranhuras para cartão SIM,Tamanhos de cartão SIM compatíveis,Com eSIM,Mês de lançamento,Ano de lançamento,Peso,Tamanho da tela,Resolução da tela,Tecnologia da tela,Pixels por polegada,Brilho máximo da tela,Com tela tátil,Capacidade da bateria,Tipo de bateria,Com carregamento rápido,Com carregamento sem fio,Com bateria removível,Autonomia em standby,Autonomia de conversação,Altura x Largura x Profundidade,Com teclado QWERTY físico,É resistente a salpicos,É resistente à água,É à prova d'água,É resistente ao pó,Classificação IP,Modelo do processador,Modelos de CPU,Quantidade de núcleos do processador,Velocidade do processador,Com acelerômetro,Com sensor de proximidade,Com giroscópio,Com bússola,Com barômetro,descricao,Resolução das câmeras traseiras,Tipo de resolução da tela,Proporção da tela,Capacidade máxima do cartão de memória,Características principais das câmeras,Inclui lápis,Tipo de tela,Modelo de GPU,Com sensor de frequência cardíaca,Camada original de personalização do sistema operacional,Última camada compatível de personalização do sistema operacional,Zoom óptico,Taxa de atualização da tela,É resistente a quedas,Quantidade de eSIMs,Com reconhecimento de mão,Com reconhecimento de íris,Cor,É kit,Modelo detalhado,Com tela dobrável,Edição do sistema operacional,Tipos de câmeras traseiras,Tipos de câmeras frontais,Resolução das câmeras frontais,Versão,Origem,É inflamável,Pixels por polegada da tela dobrada,Pixels por polegada da tela secundária,Brilho máximo da tela secundária
0,Celular iPhone 8 64gb,https://produto.mercadolivre.com.br/MLB-1824075395-celular-iphone-8-64gb-_JM,Apple,iPhone,iPhone 8,64 GB,64 GB,Não,iOS,11,14,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,1,f 1.8,1,1920 px x 1080 px,f 2.2,Não,5x,Sim,Não,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,TIM,Não,1,Nano-SIM,Não,Setembro,2017,148 g,"4.7 """,750 px x 1334 px,IPS,326 ppi,625 cd/m²,Sim,1821 mAh,Íon de lítio,Sim,Sim,Não,240 h,14 h,138.4 mm x 67.3 mm x 7.3 mm,Não,Sim,Sim,Não,Sim,IP67,Apple A11 Bionic,"2x2.4 GHz Monsoon,4x1.6 GHz Mistral",6,2.4 GHz,Sim,Sim,Sim,Sim,Sim,Celular iPhone 8 funciona tudo ok. Só botão de vibra Call está com problema.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,iPhone 8 64 Gb  Cinza-espacial Ótimo Estado,https://produto.mercadolivre.com.br/MLB-1828042569-iphone-8-64-gb-cinza-espacial-otimo-estado-_JM,Apple,iPhone,iPhone 8,64 GB,2 GB,Não,iOS,11,14,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,1,f 1.8,1,1920 px x 1080 px,f 2.2,Não,5x,Sim,Não,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,Não,1,Nano-SIM,Não,Setembro,2017,148 g,"4.7 """,750 px x 1334 px,IPS,326 ppi,625 cd/m²,Sim,1821 mAh,Íon de lítio,Sim,Sim,Não,240 h,14 h,138.4 mm x 67.3 mm x 7.3 mm,Não,Sim,Sim,Não,Sim,IP67,Apple A11 Bionic,"2x2.4 GHz Monsoon,4x1.6 GHz Mistral",6,2.4 GHz,Sim,Sim,Sim,Sim,Sim,iPhone impecável zero 80% de saúde de bateria Tudo original  Acompanha caixa e carregador,12 Mpx/12 Mpx,Full HD+,19.5 - 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,iPhone 7 Em 12 Vezes No Cartão,https://produto.mercadolivre.com.br/MLB-1828393905-iphone-7-em-12-vezes-no-carto-_JM,Apple,iPhone,iPhone 7,32 GB,2 GB,Não,iOS,10.0.1,14,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,1,f 1.8,1,1920 px x 1080 px,f 2.2,Não,5x,Sim,Não,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,Não,1,Nano-SIM,Não,Setembro,2016,138 g,"4.7 """,750 px x 1334 px,IPS,326 ppi,625 cd/m²,Sim,1960 mAh,Íon de lítio,,Sim,Não,240 h,14 h,138.3 mm x 67.1 mm x 7.1 mm,Não,Sim,Sim,Não,Sim,IP67,Apple A10 Fusion,"2x2.34 GHz Hurricane,2x2.34 GHz Zephyr",4,2.34 GHz,Sim,Sim,Sim,Sim,Sim,Celular em ótimas condições somente com marcas de uso 32 gigas de memória bateria 74 de saúde com caixa e cabo original e case original,12 Mpx/12 Mpx,,19.5 - 9,256 GB,"Optical image stabilization,Sixelement lens,Quad-LED True Tone flash,Panorama (up to 63MP),Sapphire crystal lens cover,Backside illumination sensor,Hybrid IR filter,Autofocus with Focus Pixels,Tap to focus with Focus Pixels,Live Photos with s...",Não,Retina,PowerVR Series7XT Plus,Não,,,,,,,,,,,,,,,,,,,,,,
0,iPhone 7 128 Gb  Preto-fosco,https://produto.mercadolivre.com.br/MLB-1816541206-iphone-7-128-gb-preto-fosco-_JM,Apple,iPhone,iPhone 7,128 GB,2 GB,Não,iOS,10.0.1,14,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,1,f 1.8,1,1920 px x 1080 px,f 2.2,Não,5x,Sim,,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,Não,1,Nano-SIM,Não,Setembro,2016,138 g,"4.7 """,750 px x 1334 px,IPS,326 ppi,625 cd/m²,Sim,1960 mAh,Íon de lítio,,,Não,240 h,14 h,138.3 mm x 67.1 mm x 7.1 mm,Não,Sim,Sim,Não,Sim,IP67,Apple A10 Fusion,"2x2.34 GHz Hurricane,2x2.34 GHz Zephyr",4,2.34 GHz,Sim,Sim,Sim,Sim,Sim,"Telefone Celular em excelentes condições, na caixa, cor preto fosco, com película protetora de tela já colada (e inclui adicionalmente um kit de películas frente e verso novas), parte traseira com algumas marcas leves, sem arranhões. Nunca foi aberto por assistência técnica, totalmente original. Carregador (plug e cabo USB) originais em bom estado. Fone de ouvido original (controle de volume, play, pause e chamadas) nunca usado. Bateria em boas condições com 79% de capacidade (vide foto).",12 Mpx/12 Mpx,HD,20 - 9,,"Optical image stabilization,Six-element lens,Quad-LED True Tone flash,Panorama (up to 63MP),Sapphire crystal lens cover,Backside illumination sensor,Hybrid IR filter,Autofocus with Focus Pixels,Tap to focus with Focus Pixels,Live Photos with stab",,Retina,PowerVR Series7XT Plus,,MIUI 12,MIUI 12,2x,60 Hz,Não,,,,,,,,,,,,,,,,,
0,iPhone XR 64 Gb  (product),https://produto.mercadolivre.com.br/MLB-1824241403-iphone-xr-64-gb-product-_JM,Apple,iPhone,iPhone XR,64 GB,3 GB,Não,iOS,12,14,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,1,f 1.8,1,1920 px x 1080 px,f 2.2,Não,5x,Não,Sim,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,Não,1,Nano-SIM,Sim,Outubro,2018,194 g,"6.1 """,828 px x 1792 px,IPS,326 ppi,625 cd/m²,Sim,2942 mAh,Íon de lítio,,Sim,Não,240 h,25 h,150.9 mm x 75.7 mm x 8.3 mm,Não,Sim,Sim,Não,Sim,IP67,Apple A12 Bionic,"2x2.5 GHz Vortex,4x1.6 GHz Tempest",6,2.5 GHz,Sim,Sim,Sim,Sim,Sim,"###ATENÇÃO### Somos novos no ML, a mais de 5 anos vendendo em loja física, garantimos qualidade e o melhor atendimento!!! iOS 12, desempenho superior O sistema operacional iOS 12 oferece o dobro da velocidade de abertura de aplicativos do que a versão anterior. Além disso, o Siri Assistant se integra a aplicativos de terceiros para seu benefício. Tudo o que você precisa fazer é dizer “Siri, eu preciso relaxar” para iniciar seu aplicativo de meditação. Momentos únicos, capturas reais Capture seus melhores momentos e reviva-os sempre que quiser com a câmera traseira de 12 Mpx. Além disso, o dispositivo possui uma câmera frontal de 7 Mpx para que você possa tirar selfies divertidas ou fazer videochamadas. Mais para ver Com sua tela IPS de 6.1 "", desfrute de cores intensas e maior clareza em todo o seu conteúdo. Reconhecimento facial para maior segurança Aproxime o dispositivo do seu rosto para desbloqueá-lo instantaneamente. Sua tecnologia precisa de reconhecimento facial garante acesso rápido e seguro ao dispositivo.  Bateria o dia todo Sua bateria 2942 mAh se adapta ao seu estilo de vida e lhe garante energia durante um dia inteiro com uma única carga. Grande capacidade de armazenamento Com sua memória interna de 64 GB você sempre terá espaço para armazenar arquivos e documentos importantes. Além disso, você poderá salvar filmes, séries e vídeos para reproduzi-los sempre que quiser offline.",12 Mpx/12 Mpx,Full HD+,19.5 - 9,512 GB,,,,,Não,MIUI 12,,,,,1,,,,,,,,,,,,,,,,
0,iPhone 11 Pro Max 256 Gb Cinza-espacial,https://produto.mercadolivre.com.br/MLB-1859122121-iphone-11-pro-max-256-gb-cinza-espacial-_JM,Apple,iPhone,iPhone 11 Pro Max,256 GB,4 GB,Não,iOS,13,14,12 Mpx,3840 px x 2160 px,12 Mpx,Sim,3,f 1.8/f 2.0/f 2.4,1,3840 px x 2160 px,f 2.2,Não,10x,Não,Sim,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,Não,1,Nano-SIM,Sim,Setembro,2019,226 g,"6.5 """,1242 px x 2688 px,OLED,458 ppi,1200 cd/m²,Sim,3969 mAh,Íon de lítio,Sim,Sim,Não,240 h,,158 mm x 77.8 mm x 8.1 mm,Não,Sim,Sim,Não,Sim,IP68,Apple A13 Bionic,"2x2.65 GHz Lightning,4x1.8 GHz Thunder",6,2.65 GHz,Sim,Sim,Sim,Sim,Sim,Telefone impecável. Em estado de novo. Sempre com capinha e película. Garantia Apple ainda vigente de 4 meses. Saúde da bateria em 94%. Vai acompanhando caixa original mais carregador e 3 capinhas de proteção.,12 Mpx/12 Mpx/12 Mpx,Full HD+,19.5 - 9,512 GB,"Portrait mode with advanced bokeh and Depth Control,Portrait Lighting with six effects (Natural,Studio,Contour,Stage,Stage Mono,High-Key Mono),Dual optical image stabilization (Wide and Telephoto),Five-element lens (Ultra Wide),Six-element lens (",,Super Retina XDR,Apple GPU MP4,Não,MIUI 12,,2x,60 Hz,,1,,,,,,,,,,,,,,,,
0,iPhone 12 Pro Max 256,https://produto.mercadolivre.com.br/MLB-1859199338-iphone-12-pro-max-256-_JM,Apple,iPhone,iPhone 12 Pro Max,256 GB,6 GB,Não,iOS,14,14,12 Mpx,3840 px x 2160 px,12 Mpx,Sim,3,f 1.6/f 2.2/f 2.4,1,3840 px x 2160 px,f 2.2,Não,12x,,Sim,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,,Não,,Sim,Desbloqueado,Não,1,Nano-SIM,Sim,Novembro,2020,228 g,"6.7 """,1284 px x 2778 px,OLED,458 ppi,1200 cd/m²,Sim,3687 mAh,Íon de lítio,Sim,Sim,Não,,,160.8 mm x 78.1 mm x 7.4 mm,Não,Sim,Sim,Não,Sim,IP68,Apple A14 Bionic,,6,3 GHz,Sim,Sim,Sim,Sim,Sim,"Fotografia profissional no seu bolso Descubra infinitas possibilidades para suas fotos com as 3  câmeras principais de sua equipe. Teste sua criatividade e jogue com iluminação, diferentes planos e efeitos para obter ótimos resultados. Perfeito para quem gosta de fotos detalhadas. Seu zoom óptico lhe dará a possibilidade de ampliar sem perder qualidade de suas capturas. Capacidade e eficiência Com seu poderoso processador e memória RAM de 6 GB seu computador alcançará alto desempenho com alta velocidade de transmissão de conteúdos e executará vários aplicativos ao mesmo tempo, sem atrasos. Reconhecimento facial para maior segurança Aproxime o dispositivo do seu rosto para desbloqueá-lo instantaneamente. Sua tecnologia precisa de reconhecimento facial garante acesso rápido e seguro ao dispositivo.  Vida útil da bateria mais longa Desconecte-se! Com a super bateria de 3687 mAh você terá energia por muito mais tempo para jogar, assistir séries ou trabalhar sem recarregar.",12 Mpx/12 Mpx/12 Mpx,Full HD+,19.5 - 9,512 GB,,,DotDisplay,Apple GPU,,MIUI 12,MIUI 12,5x,,,1,,,,,,,,,,,,,,,,
0,Apple iPhone SE 2° Geração 128gb  Lacrado Pronta Entrega Nfe,https://produto.mercadolivre.com.br/MLB-1859203184-apple-iphone-se-2-geraco-128gb-lacrado-pronta-entrega-nfe-_JM,Apple,iPhone,iPhone SE (2nd Generation),128 GB,3 GB,Não,iOS,13,14,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,1,f 1.8,1,1920 px x 1080 px,f 2.2,Não,5x,Sim,Não,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,Não,1,Nano-SIM,Sim,Abril,2020,148 g,"4.7 """,750 px x 1334 px,IPS,326 ppi,625 cd/m²,Sim,1821 mAh,Íon de lítio,,Sim,Não,240 h,,138.4 mm x 67.3 mm x 7.3 mm,Não,Sim,Sim,Não,Sim,IP67,Apple A13 Bionic,"2x2.65 GHz Lightning,4x1.8 GHz Thunder",6,2.65 GHz,Sim,Sim,Sim,Sim,Sim,"Pronto Envio! iOS 13, o futuro em suas mãos O Apple iPhone SE (2nd Generation) tem o sistema operacional iOS 13 que introduz novas maneiras de proteger sua segurança e privacidade, como o sistema de criptografia de ponta a ponta com o qual você pode ter controle total de seus dados. Além disso, ele possui o modo escuro para seus olhos descansarem, poderosas ferramentas de edição multimídia e aplicativos de realidade aumentada. Momentos únicos, capturas reais Capture seus melhores momentos e reviva-os sempre que quiser com a câmera traseira de 12 Mpx. Além disso, o dispositivo possui uma câmera frontal de 7 Mpx para que você possa tirar selfies divertidas ou fazer videochamadas. Mais para ver Com sua tela IPS de 4.7 "", desfrute de cores intensas e maior clareza em todo o seu conteúdo. Desbloqueio rápido com sua impressão digital Com o sensor de impressão digital, o acesso é seguro e você poderá desbloqueá-lo automaticamente com um toque. Grande capacidade de armazenamento Com sua memória interna de 128 GB você poderá armazenar arquivos e aplicativos grandes sem ter que carregá-los para a nuvem e aproveitar seus momentos off-line para desfrutá-los ao máximo.",12 Mpx/12 Mpx,Full HD+,19.5 - 9,128 GB,,,,Apple GPU,,MIUI 12,MIUI 12,,,Não,1,Não,Não,,,,,,,,,,,,,,
0,"iPhone 8 256 Gb Caixa + Nf Compra + Fone, Carregador ",https://produto.mercadolivre.com.br/MLB-1854439761-iphone-8-256-gb-caixa-nf-compra-fone-carregador-_JM,Apple,iPhone,iPhone 8,256 GB,2 GB,Não,iOS,11,14,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,1,f 1.8,1,1920 px x 1080 px,f 2.2,Não,5x,Sim,Não,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,Não,1,Nano-SIM,Não,Setembro,2017,148 g,"4.7 """,750 px x 1334 px,IPS,326 ppi,625 cd/m²,Sim,1821 mAh,Íon de lítio,Sim,Sim,Não,240 h,14 h,138.4 mm x 67.3 mm x 7.3 mm,Não,Sim,Sim,Não,Sim,IP67,Apple A11 Bionic,"2x2.4 GHz Monsoon,4x1.6 GHz Mistral",6,2.4 GHz,Sim,Sim,Sim,Sim,Sim,"IPHONE 8 256G Celular em ótimas condições. Acompanha caixa, nota fiscal de compra do aparelho. Fone de ouvido, e carregador original. iPhone 8 Apple Cinza Espacial, 256GB Desbloqueado - MQ7C2BR/A Uma nova geração de iPhone chegou e você vai querer fazer parte dela! Ainda mais resistente e com um design inovador o novo iPhone foi criado totalmente em vidro e possui uma moldura feita de alumínio aeroespacial, que torna seu iPhone resistente à água e a poeira. Você vai se encantar com o novo sistema de recarga sem fio, que te permite carregar sua bateria em estações e bases de carregamento sem fio de hotéis, cafés e aeroportos no mundo todo. A Tela Retina HD é feita com tecnologia True Tone, com ampla tonalidade de cores e a maior precisão da categoria, tudo na tela fica mais vívido e brilhante. A câmera mais popular do mundo ficou ainda melhor com o novo sensor e a potência do chip A11 Bionic. O chip possui quatro núcleos de eficiência que são até 70% mais rápidos que no A10 Fusion e dois núcleos de desempenho até 25% mais velozes. A câmera vem ainda com sensor maior e mais veloz, novo filtro de cores, pixels mais fiéis e um avançado sistema de estabilização óptica para fotos e vídeos. O iPhone 8 conta também com uma câmera grande-angular igual à do iPhone 8 Plus, com abertura /1.8, estabilização óptica de imagem e sensor de 12 MP maior e mais rápido. Assim, toda a foto será a sua melhor foto! Pais corujas, futuros cineastas ou mesmo diretores profissionais poderão deixar seus vídeos melhores com o iPhone 8. O codificador de vídeo criado pela Apple processa imagens em tempo real para obter a qualidade ideal. E a compressão HEVC cria vídeos com a mesma qualidade e metade do tamanho do arquivo. O iPhone 8 é brilhante e as experiências de realidade aumentada vão envolver você como nunca! Compre agora! Características Marca: Apple Modelo: iPhone 8 Referência: MQ7C2BR/A Cód.: 179065 Cor: Cinza Espacial Memória Interna: 256 GB Processador: Chip",12 Mpx/12 Mpx,Full HD+,19.5 - 9,,,,,,Não,,,,,,,,,,,,,,,,,,,,,,
0,Celular iPhone 6 Plus 1gb De Ram 128gb De Rom 5.5 Polegadas,https://produto.mercadolivre.com.br/MLB-1859354736-celular-iphone-6-plus-1gb-de-ram-128gb-de-rom-55-polegadas-_JM,Apple,iPhone,iPhone 6 Plus,128 GB,1 GB,Não,iOS,8,,8 Mpx,1920 px x 1080 px,1.2 Mpx,Sim,1,f 2.2,,1280 px x 720 px,f 2.2,Não,3x,Sim,Não,4G/LTE,Lightning,Sim,,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,Não,1,Nano-SIM,Não,Setembro,,172 g,"5.5 """,1080 px x 1920 px,IPS,401 ppi,500 cd/m²,Sim,2915 mAh,Íon de lítio,,Sim,Não,384 h,24 h,158.1 mm x 77.8 mm x 7.1 mm,Não,Não,,Não,Sim,IP67,Apple A8,2x1.4 GHz Typhoon,2,1.4 GHz,Sim,Sim,Sim,,Sim,"Celular iPhone 6 Plus  Celular iPhone 6 Plus de 128 gb rodando o Sistema Operacional iOS 12.5.2. Atenção: As câmeras do aparelho  estão com defeito “não dá para tirar fotos e gravar vídeos” e o Touch ID também mais, o botão Home funciona perfeitamente. Fora isso aparelho impecável como mostra as fotos. Aparelho e carregador!",12 Mpx/12 Mpx,Full HD+,20 - 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
