,titulo,link,Marca,Linha,Modelo,Memória interna,Memória RAM,Com ranhura para cartão de memória,Tipos de cartão de memória,Capacidade máxima do cartão de memória,Tamanho da tela,Tipo de resolução da tela,Resolução da tela,Tecnologia da tela,Tipo de tela,Proporção da tela,Pixels por polegada,Com tela tátil,Pixels por polegada da tela dobrada,Pixels por polegada da tela secundária,Capacidade da bateria,Tipo de bateria,Com carregamento rápido,Com carregamento sem fio,Com bateria removível,Autonomia de conversação,Altura x Largura x Profundidade,Com teclado QWERTY físico,É resistente a salpicos,É resistente à água,É à prova d'água,É resistente ao pó,Classificação IP,Modelo do processador,Modelos de CPU,Quantidade de núcleos do processador,Velocidade do processador,Modelo de GPU,Com acelerômetro,Com sensor de proximidade,Com giroscópio,Com bússola,Com sensor de frequência cardíaca,É Dual SIM,Quantidade de ranhuras para cartão SIM,Tamanhos de cartão SIM compatíveis,Com eSIM,Mês de lançamento,Ano de lançamento,Peso,Nome do sistema operacional,Versão original do sistema operacional,Camada original de personalização do sistema operacional,Resolução da câmera traseira principal,Resolução de vídeo da câmera traseira,Resolução da câmera frontal principal,Com câmera,Características principais das câmeras,Quantidade de câmeras traseiras,Resolução das câmeras traseiras,Abertura do diafragma da câmera traseira,Quantidade de câmeras frontais,Resolução das câmeras frontais,Abertura do diafragma da câmera frontal,Com flash na câmara frontal,Zoom digital,Com leitor de impressão digital,Com reconhecimento facial,Com reconhecimento de íris,Rede,Tipo de conector de carregamento,Com conector USB,Com jack 3.5,Com Wi-Fi,Com GPS,Com Bluetooth,Com NFC,Com mini HDMI,Com radio,Com sintonizador de TV,Com IMEI,Operadora,descricao,Taxa de atualização da tela,É resistente a quedas,Com barômetro,Última camada compatível de personalização do sistema operacional,Resolução de vídeo da câmera frontal,Última versão compatível do sistema operacional,Brilho máximo da tela,Zoom óptico,Inclui lápis,Velocidade do GPU,Autonomia em standby,Cor,Com tela dobrável,É kit,Edição do sistema operacional,Modelo detalhado,Origem,Zoom híbrido,Com reconhecimento de mão,Quantidade de eSIMs,Versão,Tipos de câmeras traseiras,Tipos de câmeras frontais,Tecnologia da tela secundária,Tamanho da tela secundária,Resolução da tela secundária,Proporção da tela secundária,Com tela secundária tátil,Altura fechado,Largura fechada,Profundidade cerrado,Taxa de atualização da tela secundária,Altura x Profundidade,Altura x Largura,Brilho máximo da tela secundária
0,Samsung Galaxy A71 Dual Sim 128 Gb Prism Crush Black 6 Gb ,https://produto.mercadolivre.com.br/MLB-1854479880-galaxy-note10-lite-_JM,Samsung,Galaxy A,A71 Duos,128 GB,6 GB,Sim,MicroSD,512 GB,"6.7 """,Full HD+,1080 px x 2400 px,Super AMOLED Plus,DotDisplay,20 - 9,393 ppi,Sim,393 ppi,393 ppi,4500 mAh,Íon de lítio,Sim,Não,Não,42 h,163.6 mm x 76 mm x 7.7 mm,Não,Não,Não,Não,Não,IP68,Snapdragon 730,"2x2.2 GHz Kryo 470 Gold,6x1.8 GHz Kryo 470 Silver",8,2.2 GHz,Adreno 618,Sim,Sim,Sim,Sim,Não,Sim,2,Nano-SIM,Não,Janeiro,2020,179 g,Android,10,MIUI 12,64 Mpx,1920 px x 1080 px,32 Mpx,Sim,"Single take,Night hyperlapse,Custom filter,Smart selfie angle,Slow motion",4,64 Mpx,f 2.2,1,32 Mpx,f 2.2,Não,8x,Sim,Sim,Não,4G/LTE,USB-C,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Desbloqueado,"Descrição Concentre-se no importante O sistema operacional inovador Android 10 incorpora respostas inteligentes e ações sugeridas para todos os seus aplicativos. Além disso, inclui a função de Bem-Estar Digital e o Tema Escuro, para que você evite distrações e alcance maior concentração. Capacidade e eficiência Com seu processador potente e sua memória RAM de 6 GB você poderá maximizar seu desempenho, com excelente velocidade de transmissão de conteúdo. Execute vários aplicativos ao mesmo tempo sem atrasos! Experiência visual incrível Assista às suas séries e filmes favoritos com a melhor definição por meio de sua tela de Super AMOLED Plus de 6.7"". Desfrute de cores brilhantes e detalhes precisos em todo o seu conteúdo. Grande capacidade de armazenamento Com sua memória interna de 128 GB, você poderá armazenar arquivos e aplicativos grandes sem carregá-los na nuvem. Desfrute do seu conteúdo favorito em todos os momentos. Bateria superior Desligue-se! Com a super bateria 4500 mAh, você terá muita mais energia para jogar, assistir séries ou trabalhar sem necessidade de recarregar seu telefone. Fotografía profissional no seu bolso Descubra infinitas possibilidades para as suas fotos com as 4 câmeras principais de sua equipe. Graças à câmera telefoto, você poderá capturar detalhes quase imperceptíveis; com a grande angular, você tirará fotos nítidas; e o ultra grande angular lhe permitirá obter imagens panorâmicas excepcionais. Você ama os fundos borrados? Irá obtê-los com o famoso modo retrato da quarta câmera. Além disso, o dispositivo tem uma câmera frontal de 32 Mpx para que possa tirar-se selfies divertidas ou fazer videochamadas. Tecnologia premium Maximize a sua segurança e certifique-se de que só você possa desbloquear o seu telefone. Graças ao sensor de impressões digitais, você pode ativar seu dispositivo com apenas um toque. Além disso, possui reconhecimento facial que é ativado rapidamente quando você coloca a tela na frente do seu rosto. Outras características Nome do sistema operacional: Android Versão do sistema operacional: 10 Tamanho da tela: 6.7 "" Resolução da tela: 1080 px x 2400 px Resolução da câmera traseira principal: 64 Mpx Resolução de vídeo da câmera traseira: 3840 px x 2160 px Resolução da câmera frontal principal: 32 Mpx Com leitor de impressão digital: Sim Com reconhecimento facial: Sim Capacidade da bateria: 4500 mAh Quantidade de ranhuras para cartão SIM: 2 Tamanhos de cartão SIM compatíveis: Nano-SIM Com eSIM: Não Camada do sistema operacional do fabricante: One UI 2 Mês de lançamento: Janeiro Ano de lançamento: 2020 Peso: 179 g Altura x Largura x Profundidade: 163.6 mm x 76 mm x 7.7 mm Pixels por polegada: 393 ppi Tecnologia de tela: Super AMOLED Plus Com tela tátil: Sim Com teclado QWERTY físico: Não Com câmera: Sim Quantidade de câmeras traseiras: 4 Resolução das câmeras traseiras: 64 Mpx/12 Mpx/5 Mpx/5 Mpx Abertura do diafragma da câmera traseira: f 1.8/f 2.2/f 2.2/f 2.4 Quantidade de câmeras frontais: 1 Resolução de vídeo da câmera frontal: 1920 px x 1080 px Abertura do diafragma da câmera frontal: f 2.2 Com flash na câmara frontal: Não Com função de câmara lenta: Sim Zoom digital: 8x Rede: 4G/LTE Com ranhura para cartão de memória: Sim Tipos de cartão de memória: MicroSD Capacidade máxima do cartão de memória: 512 GB Quantidade de núcleos do processador: 8 Velocidade do processador: 2.2 GHz Modelo de GPU: Adreno 618 Tipo de conector de carregamento: USB-C Com conector USB: Sim Com jack 3.5: Sim Com Wi-Fi: Sim Com GPS: Sim Com Bluetooth: Sim Com NFC: Sim Com mini HDMI: Não Com radio: Sim Com sintonizador de TV: Não Com acelerômetro: Sim Com sensor de proximidade: Sim Com giroscópio: Sim É resistente a salpicos: Não É resistente à água: Não É à prova d'água: Não Tipo de bateria: Íon de lítio Com bateria removível: Não Autonomia de conversação: 42 h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Smartphone Celular Samsung Galaxy S9 128gb - Perfeito Estado,https://produto.mercadolivre.com.br/MLB-1854479880-galaxy-note10-lite-_JM,Samsung,Galaxy S,S9 Duos,128 GB,4 GB,Sim,MicroSD,400 GB,"5.8 """,Full HD+,1440 px x 2960 px,Super AMOLED,Dot Drop Display,,570 ppi,Sim,,,3000 mAh,Íon de lítio,Sim,Sim,Não,22 h,147.7 mm x 68.7 mm x 8.5 mm,Não,Sim,Sim,Sim,Sim,IP68,,,8,,,Sim,Sim,Sim,Sim,Sim,Sim,2,Nano-SIM,Não,,2018,163 g,Android,8.0 Oreo,MIUI 12,12 Mpx,3840 px x 2160 px,8 Mpx,Sim,,1,,f 1.5-2.4,1,,f 1.7,Não,8x,Sim,Sim,Sim,4G/LTE,USB-C,Sim,Sim,Sim,Sim,Sim,Sim,Não,,Não,Sim,Desbloqueado,"Smartphone celular Samsung Galaxy S9 Preto na caixa e em perfeito estado! Loja Tech Store - Compre com Segurança Produto Pronta Entrega - Envio em 24 horas via MercadoEnvios (Correios). Produto usado em perfeito estado, não possui nenhum tipo de risco ou arranhão (sempre foi usado com capa e película), funcionando perfeitamente. Motivo da venda? R: Troca de aparelho, este não está mais em uso. Minha experiência com o Galaxy S9? R: Celular simplesmente incrível, roda tudo sem engasgos mesmo com vários apps e jogos abertos com seus 4GB ram, possui armazenamento para tudo que quiser, possui leitor de biometria na parte traseira e resistência a água IP68, possui aproveitamento de quase toda a parte frontal e ainda tela curva (muito bom para consumir conteúdos), possui Usb padrão tipo C e som estéreo AKG, tela super Amoled excelente com ótimas cores e níveis de brilho (dá para usar até de baixo do sol), o sistema atualizado da Samsung deixa o aparelho ainda melhor com suas funções extras nativas, câmeras traseiras deixam qualquer foto com tom profissional e câmera frontal não deixa a desejar. Conteúdo do pacote: 1x Samsung Galaxy S9 4GB 128GB Preto 1x Caixa original do produto 1x Manual do produto 1x Nota fiscal (em meu nome) comprovando a originalidade  Especificações técnicas do aparelho: - Android 10 atualizado - Leitor biométrico - Dual Sim Nano - USB tipo C - Processador: Para rodar tudo, Qualcomm Snapdragon 845 (Octacore 4x 2.8 GHz + 4x 1.7 GHz) - GPU: Adreno 630 - Memória RAM: 4GB - Armazenamento: 128GB - Tela: Curva de 5.8"" Super AMOLED com proteção Gorilla Glass 5 - Câmera traseira: Sensor 12 Mp com gravação em 4K a 60 fps - Câmera frontal: 8 Mp F 1.7 - Bateria: 3000 mAh com carregamento rápido; ----- Aproveite o frete grátis disponível no anúncio (exceto em algumas regiões)! - Pagamentos no Cartão ou MercadoPago são confirmados no mesmo momento - Pagamentos no boleto podem demorar 1-2 dias úteis para serem confirmados Sempre confirme seus dados, nome e endereço antes de confirmar sua compra, evitando problemas com sua entrega. Em caso de dúvidas pergunte no campo de mensagens abaixo que nós responderemos!",60 Hz,Não,Sim,MIUI 12,2560 px x 1440 px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0, A7 (2017) A720f Dual 32gb 5.7 ,https://produto.mercadolivre.com.br/MLB-1854479880-galaxy-note10-lite-_JM,Samsung,Galaxy A,A7 (2017) Duos,32 GB,3 GB,,MicroSD,256 GB,0.145 m,Full HD+,1080 px x 1920 px,IPS,,20 - 9,386 ppi,Sim,,,3600 mAh,Íon de lítio,,Não,Não,23 h,156.8 mm x 77.6 mm x 7.9 mm,Não,Sim,Sim,Não,,IP67,Exynos 7880,8x1.9 GHz Cortex-A53,8,1.9 GHz,Mali-T830 MP3,Sim,Sim,Sim,Sim,Não,Sim,2,Nano-SIM,Sim,Setembro,2017,186 g,Android,6.0.1 Marshmallow,,16 Mpx,1920 px x 1080 px,16 Mpx,Sim,,1,,f 1.9,1,,f 1.9,Não,,Sim,,,GSM,USB-C,Sim,Não,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,,"Características do produto Tecnologia de rede GSM / HSPA / LTE Bandas 2G GSM 850/900/1800/1900 - SIM 1 e SIM 2 (apenas modelo SIM dual) Bandas 3G HSDPA 850/900/1700 (AWS) / 1900/2100 (800), 20 (800), 8 (900), 17 (700), 20 (800), 4 (1700/2100), 5 (850), 7 (2600) , 28 (700), 38 (2600), 40 (2300), 41 (2500) HSPA Speed ??42.2 / 5.76 Mbps, LTE-A Cat6 300/50 Mbps GPRS Sim EDGE Sim LANÇAMENTO anunciado em 2017, janeiro Status disponível. Lançado em 2017, janeiro CORPO Dimensões 156,8 x 77,6 x 7,9 mm (6,17 x 3,06 x 0,31 polegadas) Peso 186 g (6,56 oz) de SIM Solo (Nano-SIM) ou Dual SIM (Nano-SIM, stand-by dupla)  - Samsung Pay - Certificado IP68 - à prova de poeira / impermeável por mais de 1,5 metros e 30 minutos MONITOR Tipo Super AMOLED toque capacitivo, 16M cores Tamanho 5,7 polegadas (~ 73,6% relação exibição-corpo) Resolução 1080 x 1920 pixels (~ 386 pípi densidade de pixels) Multitouch Sim Corning Gorilla Glass 4 Protection  - A tela sempre ativa OS OS Android OS, v6.0.1 (marshmallow) Chipset Exynos 7880 Octa UPC Octa-core 1.9 GHz Cortex-A53 GPU Mali-T830MP3 MEMORY Slot para cartões microSD, até 256 GB (slot dedicado) Interno de 32 GB, 3 GB de RAM CÂMARA Primária 16 MP, f / 1,9, 27 mm, focagem automática, flash LED, qualidade de verificação Características Geo-tagging, foco táctil, detecção de rosto, panorama, HDR Vídeo 1080p @ 30fps, qualidade de verificação 16ª-feira secundária, f / 1,9, 1080p Tipos de alerta SONAR Vibração; MP3, ringtones WAV Orador sim Tomada de 3,5 mm Sim  - Cancelamento de ruído ativo com microfone dedicado COMMS WLAN Wi-Fi 802.11 a / b / g / n / ac, banda dupla, Wi-Fi direta, ponto de acesso Bluetooth v4.2, A2DP, EDR, LE GPS Sim, com A-GPS, GLONASS, BDS NFC Sim Rádio Rádio FM USB v2.0, Tipo-C 1.0 Conector reversível CARACTERÍSTICAS sensores Fingerprint (montagem frontal), acelerômetro, giroscópio, proximidade, bússola, barómetro Mensagens de SMS (visualização em linha), MMS, E-mail, Push Mail, Mensagens Instantâneas Navegador HTML5 Java Não  - Carga rápida da bateria - suporte ANT + - Jogador MP4 / WMV / H.265 De DVD / WAV / WMA / eAAC + / FLAC MP3 - - Editor de fotos / vídeos - Document Viewer BATERIA Bateria extra-removível Li-Ion 3600 mAh",,,Sim,,1920 px x 1080 px,14,625 cd/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Samsung Galaxy S9+,https://produto.mercadolivre.com.br/MLB-1854479880-galaxy-note10-lite-_JM,Samsung,Galaxy S,S9+ Duos,128 GB,6 GB,Sim,MicroSD,,"6.2 """,HD+,1440 px x 2960 px,Super AMOLED,,,531 ppi,Sim,,,3500 mAh,Íon de lítio,Sim,Sim,Não,,158.1 mm x 73.8 mm x 8.5 mm,Não,Sim,Sim,,Sim,IP68,,,8,,,Sim,Sim,Sim,Sim,Sim,Sim,2,Nano-SIM,Não,Março,2018,189 g,Android,8.0 Oreo,,12 Mpx,3840 px x 2160 px,8 Mpx,Sim,,2,12 Mpx/12 Mpx,f 2.4/f 1.5-2.4,1,,f 1.7,Sim,,Sim,Sim,Sim,4G/LTE,USB-C,Sim,Sim,Sim,Sim,Sim,Sim,Não,,Não,Sim,Desbloqueado,"Celular em perfeitas condições, sem marcas de uso ou riscos, 2 meses de uso e ainda na garantia. Pouco usado. Com todos os acessórios : caixa , manual, nota fiscal , fone de ouvido, carregador e duas capinhas a original de silicone e uma outra adquirida juntamente com uma película de nano gel 3D É a prova de água",60 Hz,,Sim,,2560 px x 1440 px,,,2x,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Samsung S20 Fe ,https://produto.mercadolivre.com.br/MLB-1771088357-vendo-smartphone-samsung-galaxy-a70-128-gb-6-de-ram-_JM,Samsung,Galaxy S,S20 FE Duos,128 GB,6 GB,Sim,MicroSD,1 TB,16 cm,Full HD+,1080 px x 2400 px,Super AMOLED,Infinity-O Display,20 - 9,407 ppi,Sim,,,4500 mAh,Polímero de lítio,Sim,Sim,Não,23 h,159.8 mm x 74.5 mm x 8.4 mm,Não,Sim,Sim,,Sim,IP68,Exynos 990,"2x2.73 GHz Mongoose M5,2x2.5 GHz Cortex-A76,4x2 GHz Cortex-A55",8,2.73 GHz,Mali-G77 MP11,Sim,Sim,Sim,Sim,,Sim,1,Nano-SIM,Não,Outubro,2020,190 g,Android,10,One UI 2,12 Mpx,3840 px x 2160 px,32 Mpx,Sim,"LED flash,Autofocus,OIS,HDR,Slow motion",3,12 Mpx/12 Mpx/8 Mpx,f 1.8/f 2.2/f 2.4,1,,f 2.2,Não,30x,Sim,Sim,,4G/LTE,USB-C,Sim,Não,Sim,Sim,Sim,Sim,,Não,Não,Sim,TIM,"Telefone 10 dias de uso ta zerado com tudos seus acessórios carga rápida, caixa, Fone e NF Acompanha capa telefone é tope.",120 Hz,Não,Sim,One UI 3,3840 px x 2160 px,,,3x,Não,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Celular Samsung A30s 64gb 4gb Ram ,https://produto.mercadolivre.com.br/MLB-1771088357-vendo-smartphone-samsung-galaxy-a70-128-gb-6-de-ram-_JM,Samsung,Galaxy A,A30s Duos,64 GB,4 GB,Sim,MicroSD,512 GB,"6.4 """,,720 px x 1560 px,Super AMOLED,,,268 ppi,Sim,,,4000 mAh,Polímero de lítio,,Não,Não,32 h,158.5 mm x 74.7 mm x 7.8 mm,Não,Não,Não,Não,,IP68,Exynos 7904,"2x1.8 GHz Cortex-A73,6x1.6 GHz Cortex-A53",8,1.8 GHz,Mali-G71 MP2,Sim,Sim,Não,Sim,Não,Sim,2,Nano-SIM,Não,Setembro,2019,169 g,Android,9.0 Pie,One UI,25 Mpx,1920 px x 1080 px,16 Mpx,Sim,,3,25 Mpx/8 Mpx/5 Mpx,f 1.7/f 2.2/f 2.2,1,,f 2.0,Não,4x,Sim,Sim,,4G/LTE,USB-C,Sim,Sim,Sim,Sim,Sim,,Não,Sim,,Sim,Desbloqueado,"Celular semi novo, em ótimas condições usado apenas para exposição, funcionando perfeitamente",,,,,1920 px x 1080 px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Vendo Samsung Galaxy A10s,https://produto.mercadolivre.com.br/MLB-1771088357-vendo-smartphone-samsung-galaxy-a70-128-gb-6-de-ram-_JM,Samsung,Galaxy,Samsung Galaxy a10s,32 GB,62 GB,Sim,MicroSD,512 GB,"6.2 """,HD+,720 px x 1520 px,PLS,Infinity-V Display,19 - 9,271 ppi,Sim,,,4000 mAh,Polímero de lítio,,,Não,,156.9 mm x 75.8 mm x 7.8 mm,Não,Não,Não,Não,,,MediaTek MT6762 Helio P22,"4x2 GHz Cortex-A53,4x1.5 GHz Cortex-A53",8,2 GHz,PowerVR GE8320,Sim,Sim,Não,,,Sim,2,Nano-SIM,Não,Agosto,2019,168 g,Android,9.0 Pie,One UI,13 Mpx,1920 px x 1080 px,8 Mpx,Sim,"LED flash,Autofocus,Touch focus,EIS,Face detection,Smile detection,HDR",2,13 Mpx/2 Mpx,f 1.8/f 2.4,1,,f 2.0,Não,4x,Sim,Sim,,4G/LTE,Micro USB,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim,Desbloqueado,Vendo novo Samsung a10s,60 Hz,,,,1920 px x 1080 px,10,,,,650 MHz,,,,,,,,,,,,,,,,,,,,,,,,,
0,Celular A30 Samsung,https://produto.mercadolivre.com.br/MLB-1771088357-vendo-smartphone-samsung-galaxy-a70-128-gb-6-de-ram-_JM,Samsung,Galaxy A,A30,64 GB,4 GB,Sim,MicroSD,512 GB,"6.4 """,Full HD+,1080 px x 2340 px,Super AMOLED,Dot Drop Display,,403 ppi,Sim,,,4000 mAh,Polímero de lítio,,Não,Não,,158.5 mm x 74.7 mm x 7.7 mm,Não,Não,Não,Não,Não,IP68,Exynos 7904,"2x1.8 GHz Cortex-A73,6x1.6 GHz Cortex-A53",8,1.8 GHz,Mali-G71 MP2,Sim,Sim,Não,Sim,Não,Não,1,Nano-SIM,Não,,2019,165 g,Android,9.0 Pie,,16 Mpx,1920 px x 1080 px,16 Mpx,Sim,,2,16 Mpx/5 Mpx,f 1.7/f 2.2,1,,f 2.0,Não,,Sim,Sim,,4G/LTE,USB-C,Sim,Sim,Sim,Sim,Sim,,Não,,,Sim,Desbloqueado,"Celular em excelentes condições, sem marcas de uso.",,,,,1920 px x 1080 px,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Samsung Galaxy S10+ Mais Barato Pra Vender! ,https://produto.mercadolivre.com.br/MLB-1771088357-vendo-smartphone-samsung-galaxy-a70-128-gb-6-de-ram-_JM,Samsung,Galaxy S,S10+,128 GB,8 GB,Sim,MicroSD,512 GB,"6.4 """,Quad HD+,1440 px x 3040 px,Dynamic AMOLED,,19 - 9,522 ppi,Sim,,,4100 mAh,Íon de lítio,Sim,Sim,Não,,157.6 mm x 74.1 mm x 7.8 mm,Não,Sim,Sim,Não,Sim,IP68,,,8,,,Sim,Sim,Sim,Sim,Sim,Não,1,Nano-SIM,Não,Março,2019,175 g,Android,9.0 Pie,One UI 1.1,16 Mpx,3840 px x 2160 px,10 Mpx,Sim,,3,16 Mpx/12 Mpx/12 Mpx,f 2.2/f 2.4/f 1.5-2.4,2,10 Mpx/8 Mpx,f 1.9/f 2.2,Não,10x,Sim,Sim,,4G/LTE,USB-C,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Desbloqueado,"O celular está perfeito, funcionando muito bem, praticamente novo! Nenhum risco na tela (nas fotos dá pra ver que a película está descolando perto da câmera frontal e próximo ao botão de volume do lado direito, mas é só trocar a película que tá novo!). A bateria segura carga por um dia inteiro mesmo trabalhando com o WhatsApp web, a câmera é muuuuuuuuito boa (mesmo!) e a memória de 8gb permite que você rode absolutamente qualquer aplicativo ou jogo. Acompanha carregador, chave do compartimento SIM, adaptador USB para USB-C e uma capinha original que tenho aqui.",60 Hz,Não,Sim,One UI 3.0,3840 px x 2160 px,11,,2x,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Celular Samsung Galaxy S8+,https://produto.mercadolivre.com.br/MLB-1771088357-vendo-smartphone-samsung-galaxy-a70-128-gb-6-de-ram-_JM,Samsung,Galaxy S,S8+,64 GB,4 GB,Sim,MicroSD,256 GB,"6.2 """,Full HD+,1440 px x 2960 px,Super AMOLED,Dot Drop Display,,531 ppi,Sim,,,3500 mAh,Íon de lítio,Sim,Sim,Não,34 h,159.5 mm x 73.4 mm x 8.1 mm,Não,Sim,Sim,Não,Sim,IP68,,,8,2.35 GHz,,Sim,Sim,Sim,Sim,Sim,Não,1,Nano-SIM,Não,,2017,173 g,Android,7.0 Nougat,,,3840 px x 2160 px,8 Mpx,Sim,,1,,f 1.7,1,,f 1.7,Não,,Sim,Sim,Sim,4G/LTE,USB-C,Sim,Sim,Sim,Sim,Sim,Sim,,,,Sim,Desbloqueado,"Celular Samsung Galaxy S8+ usado pouquíssimo tempo, em perfeito estado(sem arranhões, sem tela quebrada/ trincada, bateria não está viciada). Aparelho vem direto na caixa original e com carregador.",,Não,Sim,,2560 px x 1440 px,,,,Não,,343 h,,,,,,,,,,,,,,,,,,,,,,,,
