,titulo,link,Marca,Linha,Modelo,Memória interna,Memória RAM,Com ranhura para cartão de memória,Capacidade máxima do cartão de memória,Nome do sistema operacional,Versão original do sistema operacional,Última versão compatível do sistema operacional,Camada original de personalização do sistema operacional,Resolução da câmera traseira principal,Resolução de vídeo da câmera traseira,Resolução da câmera frontal principal,Com câmera,Características principais das câmeras,Quantidade de câmeras traseiras,Resolução das câmeras traseiras,Abertura do diafragma da câmera traseira,Quantidade de câmeras frontais,Resolução de vídeo da câmera frontal,Abertura do diafragma da câmera frontal,Com flash na câmara frontal,Zoom óptico,Zoom digital,Altura x Largura x Profundidade,Com teclado QWERTY físico,É resistente a salpicos,É resistente à água,É à prova d'água,É resistente ao pó,Classificação IP,Modelo do processador,Modelos de CPU,Quantidade de núcleos do processador,Velocidade do processador,Modelo de GPU,Com acelerômetro,Com sensor de proximidade,Com giroscópio,Com bússola,Com barômetro,Com sensor de frequência cardíaca,É Dual SIM,Quantidade de ranhuras para cartão SIM,Tamanhos de cartão SIM compatíveis,Com eSIM,Quantidade de eSIMs,Mês de lançamento,Ano de lançamento,Peso,Tamanho da tela,Tipo de resolução da tela,Resolução da tela,Tecnologia da tela,Tipo de tela,Proporção da tela,Pixels por polegada,Taxa de atualização da tela,Brilho máximo da tela,Com tela tátil,Capacidade da bateria,Tipo de bateria,Com carregamento rápido,Com carregamento sem fio,Com bateria removível,Autonomia em standby,Com leitor de impressão digital,Com reconhecimento facial,Rede,Tipo de conector de carregamento,Com conector USB,Com jack 3.5,Com Wi-Fi,Com GPS,Com Bluetooth,Com NFC,Com mini HDMI,Com radio,Com sintonizador de TV,Com IMEI,Operadora,descricao,Versão,É resistente a quedas,Autonomia de conversação,Última camada compatível de personalização do sistema operacional,Com reconhecimento de íris,Inclui lápis,Modelo detalhado,Origem,Cor,Resolução das câmeras frontais,Com reconhecimento de mão,Pixels por polegada da tela dobrada,Pixels por polegada da tela secundária,Brilho máximo da tela secundária,É kit,Zoom híbrido,Com tela dobrável
0,iPhone 11 Pro Max 512gb,https://produto.mercadolivre.com.br/MLB-1682453324-iphone-11-pro-64gb-_JM,Apple,iPhone,iPhone 11 Pro Max,512 GB,4 GB,Não,512 GB,iOS,13,14,MIUI 12,12 Mpx,3840 px x 2160 px,12 Mpx,Sim,"Portrait mode with advanced bokeh and Depth Control,Portrait Lighting with six effects (Natural,Studio,Contour,Stage,Stage Mono,High-Key Mono),Dual optical image stabilization (Wide and Telephoto),Five-element lens (Ultra Wide),Six-element lens (",3,12 Mpx/12 Mpx/12 Mpx,f 1.8/f 2.0/f 2.4,1,3840 px x 2160 px,f 2.2,Não,2x,10x,158 mm x 77.8 mm x 8.1 mm,Não,Sim,Sim,Não,Sim,IP68,Apple A13 Bionic,"2x2.65 GHz Lightning,4x1.8 GHz Thunder",6,2.65 GHz,Apple GPU MP4,Sim,Sim,Sim,Sim,Sim,Não,Não,1,Nano-SIM,Sim,1,Setembro,2019,226 g,"6.5 """,Full HD+,1242 px x 2688 px,OLED,Super Retina XDR,19.5 - 9,458 ppi,60 Hz,1200 cd/m²,Sim,3969 mAh,Íon de lítio,Sim,Sim,Não,240 h,Não,Sim,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,Celular em excelentes condições!,,,,,,,,,,,,,,,,,
0,iPhone 12 Mini 128gb - Branco,https://produto.mercadolivre.com.br/MLB-1682453324-iphone-11-pro-64gb-_JM,Apple,iPhone,iPhone 12 mini,128 GB,0 GB,Não,,iOS,14,,,12 Mpx,3840 px x 2160 px,12 Mpx,Sim,,2,12 Mpx/12 Mpx,f 2.4/f 1.6,1,3840 px x 2160 px,f 2.2,Não,2x,5x,131.5 mm x 64.2 mm x 7.4 mm,Não,Sim,Sim,Sim,Sim,IP68,A14 Bionic com Neural Engine de nova gerac¸a~o,,6,,Apple GPU,Sim,Sim,Sim,Sim,Sim,,Sim,1,Nano-SIM,Sim,1,,2020,133 g,5.42 polegadas,,2340 x 1080 pixels a 476 ppp,OLED,,,476 ppi,60 Hz,1200 cd/m²,Sim,,Bateria interna recarregável de íon de lítio,Sim,Sim,Não,,,Sim,5G,Lightning,Sim,Não,Sim,Sim,Sim,Sim,,Não,Não,Sim,Desbloqueado,"O iPhone 12 mini acomoda grandes recursos em um design compacto de 5,4 polegadas*. Tela Super Retina XDR brilhante. Ceramic Shield, que é quatro vezes mais resistente a quedas**. Fotos surpreendentes em pouca luz com o modo Noite em todas as câmeras. Reprodução, edição e gravação de vídeos HDR em Dolby Vision com qualidade de cinema. Poderoso chip A14 Bionic. Compatibilidade com 5G***. E novos acessórios MagSafe com encaixe fácil e recarga sem fio mais rápida****. São grandes novidades em um minidesign. Avisos legais *A tela tem bordas arredondadas. Quando medida como um retângulo, a tela tem 5,42 polegadas na diagonal. A área real de visualização é menor. **Informação baseada na comparação entre a parte da frente do iPhone 12 mini (em Ceramic Shield) e a do iPhone da geração anterior. ***É preciso ter um plano de dados. 5G só está disponível em alguns países e por meio de determinadas operadoras. As velocidades variam de acordo com as condições e operadoras locais. Para obter detalhes sobre a compatibilidade com 5G, entre em contato com sua operadora. ****Os acessórios são vendidos separadamente. *****O iPhone 12 mini é resistente a respingos, água e poeira e foi testado em condições controladas em laboratório, classificado como IP68 segundo a norma IEC 60529 (profundidade máxima de seis metros por até 30 minutos). A resistência a respingos, água e poeira não é uma condição permanente e pode diminuir com o tempo. Não tente recarregar um iPhone molhado. Veja instruções de limpeza e secagem no Manual do Usuário. Danos decorrentes de contato com líquidos não estão incluídos na garantia. ******Como parte dos esforços da Apple para atingir seus objetivos ambientais, o iPhone 12 e o iPhone mini não vêm com adaptador de energia nem EarPods. Você pode usar o adaptador de energia e os fones de ouvido da Apple que já tenha ou comprar esses acessórios separadamente.",MGE43BZ/A,Sim,,,,,,,,,,,,,,,
0,iPhone 7 Plus 32 Gb Usado,https://produto.mercadolivre.com.br/MLB-1682453324-iphone-11-pro-64gb-_JM,Apple,iPhone,iPhone 7 Plus,32 GB,3 GB,Não,256 GB,iOS,10.0.1,14,,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,"Portrait mode,Optical image stabilization,Sixelement lens,Quad-LED True Tone flash,Panorama (up to 63MP),Sapphire crystal lens cover,Backside illumination sensor,Hybrid IR filter,Autofocus with Focus Pixels,Tap to focus with Focus Pixels,Liv...",2,12 Mpx/12 Mpx,f 1.8/f 2.8,1,1920 px x 1080 px,f 2.2,Não,2x,10x,158.2 mm x 77.9 mm x 7.3 mm,Não,Sim,Sim,Não,Sim,IP67,Apple A10 Fusion,"2x2.34 GHz Hurricane,2x2.34 GHz Zephyr",4,2.34 GHz,PowerVR Series7XT Plus,Sim,Sim,Sim,Sim,Sim,,Não,1,Nano-SIM,Não,,Setembro,2016,188 g,"5.5 """,HD,1080 px x 1920 px,IPS,Retina,19.5 - 9,401 ppi,60 Hz,625 cd/m²,Sim,2900 mAh,Íon de lítio,,Sim,Não,384 h,Sim,Não,4G/LTE,,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,"Celular em excelentes condições, sem risco. Sem acessórios, acompanha película.",,Não,21 h,,,,,,,,,,,,,,
0,iPhone 12 Pro Max 128 G,https://produto.mercadolivre.com.br/MLB-1682453324-iphone-11-pro-64gb-_JM,Apple,iPhone,iPhone 12 Pro Max,128 GB,6 GB,Não,512 GB,iOS,14,14,MIUI 12,12 Mpx,3840 px x 2160 px,12 Mpx,Sim,,3,12 Mpx/12 Mpx/12 Mpx,f 1.6/f 2.2/f 2.4,1,3840 px x 2160 px,f 2.2,Não,5x,12x,160.8 mm x 78.1 mm x 7.4 mm,Não,Sim,Sim,Não,Sim,IP68,Apple A14 Bionic,,6,3 GHz,Apple GPU,Sim,Sim,Sim,Sim,Sim,,Não,1,Nano-SIM,Sim,1,Novembro,2020,228 g,"6.7 """,Full HD+,1284 px x 2778 px,OLED,DotDisplay,19.5 - 9,458 ppi,,1200 cd/m²,Sim,3687 mAh,Íon de lítio,Sim,Sim,Não,,,Sim,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,,Não,,Sim,Desbloqueado,1 mês de uso  1 ano garantia Apple,,,,MIUI 12,,,,,,,,,,,,,
0,iPhone 6s 32 Gb Ouro Rosa,https://produto.mercadolivre.com.br/MLB-1682453324-iphone-11-pro-64gb-_JM,Apple,iPhone,iPhone 6s,32 GB,2 GB,Não,,iOS,9,14,MIUI 12,12 Mpx,3840 px x 2160 px,5 Mpx,Sim,,1,12 Mpx/12 Mpx,f 2.2,1,1280 px x 720 px,f 2.2,Não,,5x,138.3 mm x 67.1 mm x 7.1 mm,Não,Não,Não,Não,Sim,IP67,Apple A9,2x1.84 GHz Twister,2,1.84 GHz,PowerVR GT7600,Sim,Sim,Sim,Sim,Sim,,Não,1,Nano-SIM,Não,,Setembro,2015,143 g,"4.7 """,Full HD+,750 px x 1334 px,IPS,,20 - 9,326 ppi,60 Hz,500 cd/m²,Sim,1715 mAh,Íon de lítio,,Sim,Não,240 h,Sim,Não,4G/LTE,Lightning,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,"Momentos únicos, capturas reais Capture seus melhores momentos e reviva-os sempre que quiser com a câmera traseira de 12 Mpx. Além disso, o dispositivo possui uma câmera frontal de 5 Mpx para que você possa tirar selfies divertidas ou fazer videochamadas. Mais para ver Com sua tela IPS de 4.7 "", desfrute de cores intensas e maior clareza em todo o seu conteúdo. Tudo o que você precisa Sua RAM 2 GB é exatamente o que você precisa para usar as funções mais importantes, como chamadas, enviar mensagens, navegar e executar aplicativos usados com freqüência, como redes sociais ou multimídia. Desbloqueio rápido com sua impressão digital Com o sensor de impressão digital, o acesso é seguro e você poderá desbloqueá-lo automaticamente com um toque. O espaço que você precisa Com sua memória interna de 32 GB baixe seus aplicativos favoritos e salve todas as fotos e vídeos que desejar.",,Não,14 h,MIUI 12,,,,,,,,,,,,,
0,"iPhone 11 Apple 64gb (product)red 6,1 12mp Ios",https://produto.mercadolivre.com.br/MLB-1858879377-iphone-11-128-gb-amarelo-_JM,Apple,iPhone,iPhone 11,64 GB,4 GB,Não,512 GB,iOS,13,14,MIUI 12,12 Mpx,3840 px x 2160 px,12 Mpx,Sim,"Portrait mode with advanced bokeh and Depth Control,Portrait Lighting with six effects (Natural,Studio,Contour,Stage,Stage Mono,High-Key Mono),Optical image stabilization (Wide),Five-element lens (Ultra Wide),Six-element lens (Wide),Brighter Tru",2,12 Mpx/12 Mpx,f 1.8/f 2.4,1,3840 px x 2160 px,f 2.2,Não,2x,5x,150.9 mm x 75.7 mm x 8.3 mm,Não,Sim,Sim,Não,Sim,IP68,Apple A13 Bionic,"2x2.65 GHz Lightning,4x1.8 GHz Thunder",6,2.65 GHz,Apple GPU MP4,Sim,Sim,Sim,Sim,Sim,Não,Não,1,Nano-SIM,Sim,1,Setembro,2019,194 g,"6.1 """,HD,828 px x 1792 px,IPS,Liquid Retina,19.5 - 9,326 ppi,60 Hz,625 cd/m²,Sim,3110 mAh,Íon de lítio,Sim,Sim,Não,240 h,Não,Sim,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,"Vendo meu iPhone 11 em perfeito estado. Nunca quebrou ou teve trincado. Sou extremamente cuidadosa e sempre cuidei, sem grandes quedas nem nada, vendendo apenas porque quero um com mais espaço.",,,,,Não,,,,,,,,,,,,
0,iPhone 7 Gold Seminovo,https://produto.mercadolivre.com.br/MLB-1644632163-quase-zero-iphone-7-plus-32gb-_JM,Apple,iPhone,iPhone 7,128 GB,2 GB,Não,,iOS,10.0.1,14,,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,"Optical image stabilization,Six-element lens,Quad-LED True Tone flash,Panorama (up to 63MP),Sapphire crystal lens cover,Backside illumination sensor,Hybrid IR filter,Autofocus with Focus Pixels,Tap to focus with Focus Pixels,Live Photos with stab",1,12 Mpx/12 Mpx,f 1.8,1,1920 px x 1080 px,f 2.2,Não,,5x,138.3 mm x 67.1 mm x 7.1 mm,Não,Sim,Sim,Não,Sim,IP67,Apple A10 Fusion,"2x2.34 GHz Hurricane,2x2.34 GHz Zephyr",4,2.34 GHz,PowerVR Series7XT Plus,Sim,Sim,Sim,Sim,Sim,Não,Não,1,Nano-SIM,Não,,Setembro,2016,138 g,"4.7 """,HD,750 px x 1334 px,IPS,Retina,19.5 - 9,326 ppi,,625 cd/m²,Sim,1960 mAh,Íon de lítio,,Sim,Não,240 h,Sim,Não,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,"Em ótima condição. Comprado em 2018, sem arranhões ou marcas. Estado da bateria 73%",,,14 h,,,,,,,,,,,,,,
0,iPhone XS Max - 256gb,https://produto.mercadolivre.com.br/MLB-1644632163-quase-zero-iphone-7-plus-32gb-_JM,Apple,iPhone,iPhone XS Max,256 GB,4 GB,Não,512 GB,iOS,12,14,MIUI 12,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,,2,12 Mpx/12 Mpx,f 1.8/f 2.4,1,1920 px x 1080 px,f 2.2,Não,2x,10x,157.5 mm x 77.4 mm x 7.7 mm,Não,Sim,Sim,Não,Sim,IP68,Apple A12 Bionic,"2x2.5 GHz Vortex,4x1.6 GHz Tempest",6,2.5 GHz,,Sim,Sim,Sim,Sim,Sim,Não,Não,1,Nano-SIM,Sim,1,Setembro,2018,208 g,"6.5 """,Full HD+,1242 px x 2688 px,OLED,,19.5 - 9,458 ppi,,625 cd/m²,Sim,3174 mAh,Íon de lítio,Sim,Sim,Não,240 h,Não,Sim,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,"Celular em perfeito estado! Sem defeitos, acompanha 4 capas e carregador original.",,,25 h,,,,,,,,,,,,,,
0,Celular iPhone 6 S Plus ,https://produto.mercadolivre.com.br/MLB-1644632163-quase-zero-iphone-7-plus-32gb-_JM,Apple,iPhone,iPhone 6s Plus,16 GB,2 GB,Não,,iOS,9,14,,12 Mpx,3840 px x 2160 px,5 Mpx,Sim,,1,12 Mpx/12 Mpx,f 2.2,1,1280 px x 720 px,f 2.2,Não,,5x,158.2 mm x 77.9 mm x 7.3 mm,Não,Não,,Não,Sim,IP67,Apple A9,2x1.84 GHz Twister,2,1.84 GHz,PowerVR GT7600,Sim,Sim,Sim,Sim,Sim,,Não,1,Nano-SIM,Não,,Setembro,2015,192 g,"5.5 """,Full HD+,1080 px x 1920 px,IPS,,20 - 9,401 ppi,,500 cd/m²,Sim,2750 mAh,Íon de lítio,,Sim,Não,384 h,Sim,Não,4G/LTE,Lightning,Não,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,"Celular Iphone 6 S Plus usado mas em perfeito estado. Acompanha fone de ouvido, não acompanha o carregador.",,,24 h,,,,,,,,,,,,,,
0,Quase Zero iPhone 7 Plus 32gb,https://produto.mercadolivre.com.br/MLB-1693965701-iphone-7-plus-128gb-_JM,Apple,iPhone,iPhone 7 Plus,32 GB,3 GB,Não,,iOS,10.0.1,14,,12 Mpx,3840 px x 2160 px,7 Mpx,Sim,"Portrait mode,Optical image stabilization,Sixelement lens,Quad-LED True Tone flash,Panorama (up to 63MP),Sapphire crystal lens cover,Backside illumination sensor,Hybrid IR filter,Autofocus with Focus Pixels,Tap to focus with Focus Pixels,Liv...",2,12 Mpx/12 Mpx,f 1.8/f 2.8,1,1920 px x 1080 px,f 2.2,Não,2x,10x,158.2 mm x 77.9 mm x 7.3 mm,Não,Sim,Sim,Não,Sim,IP67,Apple A10 Fusion,"2x2.34 GHz Hurricane,2x2.34 GHz Zephyr",4,2.34 GHz,PowerVR Series7XT Plus,Sim,Sim,Sim,Sim,Sim,Não,Não,1,Nano-SIM,Não,,Setembro,2016,188 g,"5.5 """,HD,1080 px x 1920 px,IPS,Retina,19.5 - 9,401 ppi,,625 cd/m²,Sim,2900 mAh,Íon de lítio,,Sim,Não,384 h,Sim,Não,4G/LTE,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,"======================================================================================================================================================================  *ANTES DE COMPRAR*>>>>>>>>>>>>>>>LEIA ATENTAMENTE>>>>>>>>>>>>>>>>>>>>> ===================================================================================================================================================================== ======================================================================================================================================================================>>>>POSTAMOS EM MENOS DE 24 HORAS UTEIS, SE A CONFIRMAÇÃO DA COMPRA SE DER ATE AS 14:00, ENVIAMOS NO MESMO DIA.<<<< ====================================================================================================================================================================== VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV  ===================PORQUE COMPRAR CONOSCO====================== 1- Somente enviamos via MERCADO PAGO, dessa forma so receberemos o dinheiro da compra após sua qualificação e a sua confirmação que recebeu o produto de acordo com o que foi comprado. 2- A compra via Mercado Envios tem seguro, ou seja, alem de oferecemos o frete grátis, o produto tem seguro e caso haja extravio você recebera seu dinheiro de volta. 3- Reputação de 100% de satisfação de nossos clientes 4- Envio do produto em ate 24 horas uteis 5- Somos Mercado Líder Gold, mais de 10 anos no mercado, leia os comentários de nossos clientes ======================================================================================================================================================================  *Consulta o prazo da entrega no ""Calculador de frete"" localizado logo abaixo do valor do produto. ====================================================================================================================================================================== ===================== *PRODUTO DE VITRINE* ===================== Celular de mostruário (VITRINE) original com garantia de 3 meses.  O aparelho esta em excelente estado porém por ser de mostruário pode conter pequenas marcas, quase que imperceptíveis. ACESSÓRIOS INCLUSOS: (SIMILAR COMPATÍVEL COM IPHONES) *Carregador *OBS: NÃO VAI NA CAIXA ORIGINAL E NÃO ACOMPANHA FONE DE OUVIDO. ================================================================================ IPHONE APPLE 7 PLUS 32GB ORIGINAL DESBLOQUEADO PARA TODAS AS OPERADORAS ================================================================================ PERGUNTAS FREQUENTES: * O produto é original? R: Sim, todos nossos produtos são originais. * Quanto tempo de garantia? R: Garantia de 3 meses direto com o vendedor. * O aparelho é desbloqueado? R: Sim, desbloqueado para qualquer operadora. * Como escolho a cor do produto? R: Antes de efetuar a compra confirmar se tem disponível a cor desejada.",,,21 h,,,Não,,,,,,,,,,,
