,titulo,link,Marca,Linha,Modelo,Memória interna,Memória RAM,Tipos de cartão de memória,Tamanho da tela,Tipo de resolução da tela,Resolução da tela,Tecnologia da tela,Tipo de tela,Pixels por polegada,Brilho máximo da tela,Com tela tátil,Com leitor de impressão digital,Com reconhecimento facial,Peso,Altura x Largura x Profundidade,Tipo de conector de carregamento,Com conector USB,Com Wi-Fi,Com GPS,Com Bluetooth,Com mini HDMI,Com radio,Com sintonizador de TV,Com IMEI,Operadora,É Dual SIM,Quantidade de ranhuras para cartão SIM,Tamanhos de cartão SIM compatíveis,Com eSIM,Nome do sistema operacional,Versão original do sistema operacional,Resolução da câmera traseira principal,Resolução de vídeo da câmera traseira,Resolução da câmera frontal principal,Abertura do diafragma da câmera traseira,Resolução de vídeo da câmera frontal,Com flash na câmara frontal,Capacidade da bateria,Tipo de bateria,Com carregamento sem fio,Com bateria removível,Autonomia de conversação,É resistente a salpicos,É à prova d'água,É resistente ao pó,Classificação IP,Modelo do processador,Modelos de CPU,Quantidade de núcleos do processador,Velocidade do processador,Com acelerômetro,Com sensor de proximidade,Com giroscópio,Com barômetro,Com sensor de frequência cardíaca,descricao,Capacidade máxima do cartão de memória,Com câmera,Quantidade de câmeras traseiras,Com teclado QWERTY físico,Autonomia em standby,Rede,Com ranhura para cartão de memória,Proporção da tela,Com reconhecimento de íris,É resistente à água,É resistente a quedas,Modelo de GPU,Quantidade de eSIMs,Mês de lançamento,Ano de lançamento,Última versão compatível do sistema operacional,Camada original de personalização do sistema operacional,Resolução das câmeras traseiras,Quantidade de câmeras frontais,Abertura do diafragma da câmera frontal,Zoom digital,Zoom híbrido,Com reconhecimento de mão,Com jack 3.5,Com NFC,Com bússola,Com carregamento rápido,Última camada compatível de personalização do sistema operacional,Inclui lápis,Versão,Taxa de atualização da tela,Características principais das câmeras,Zoom óptico,Velocidade do GPU,Cor,Edição do sistema operacional,Modelo detalhado,Origem,Resolução das câmeras frontais,É kit,Com tela dobrável,Tipos de câmeras traseiras,Altura x Largura,Profundidade,Pixels por polegada da tela dobrada,Pixels por polegada da tela secundária,Brilho máximo da tela secundária,Tipos de câmeras frontais
0,Celular J7 Normal 16 Gigas,https://produto.mercadolivre.com.br/MLB-1754067657-celular-j7-normal-16-gigas-_JM,Samsung,Galaxy J,J7 Duos,16 GB,1.5 GB,MicroSD,"5.5 """,Full HD+,720 px x 1280 px,Super AMOLED,Dot Drop Display,267 ppi,500 cd/m²,Sim,Não,Não,171 g,152.4 mm x 78.6 mm x 7.5 mm,Micro USB,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Desbloqueado,Sim,2,Micro-SIM,Não,Android,5.1 Lollipop,13 Mpx,1920 px x 1080 px,5 Mpx,f 1.9,1920 px x 1080 px,Sim,3000 mAh,Íon de lítio,Não,Sim,18 h,Não,Não,Não,IP67,Exynos 7580,8x1.5 GHz Cortex-A53,8,1.5 GHz,Sim,Sim,Não,Não,Não,Celular  nunca mechido  tela original  sem defeito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Samsung Galaxy J7 Metal 16 Gb Preto 2 Gb Ram / Ótimo Estado,https://produto.mercadolivre.com.br/MLB-1761150574-samsung-galaxy-j7-metal-16-gb-preto-2-gb-ram-otimo-estado-_JM,Samsung,Galaxy J,J7 Metal,16 GB,2 GB,MicroSD,"5.5 """,Full HD+,720 px x 1280 px,Super AMOLED,Dot Drop Display,267 ppi,500 cd/m²,Sim,Não,Não,169 g,151.7 mm x 76 mm x 7.8 mm,Micro USB,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Desbloqueado,Não,1,Micro-SIM,Não,Android,6.0.1 Marshmallow,13 Mpx,1920 px x 1080 px,5 Mpx,f 1.9,1920 px x 1080 px,Sim,3300 mAh,Íon de lítio,Não,Sim,23 h,Não,Não,Não,IP67,Exynos 7870,8x1.6 GHz Cortex-A53,8,1.6 GHz,Sim,Sim,Não,Não,Não,"Ótimo estado, pequenas marcas no aro. Acompanha capa e carregador.",128 GB,Sim,1,Não,354 h,4G/LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Celular Samsung S20+,https://produto.mercadolivre.com.br/MLB-1772942225-celular-samsung-s20-_JM,Samsung,Galaxy S,S20+ Duos,128 GB,8 GB,MicroSD,"6.7 """,,1440 px x 3200 px,Dynamic AMOLED 2X,,525 ppi,,Sim,Sim,Sim,186 g,161.9 mm x 73.7 mm x 7.8 mm,USB-C,Sim,Sim,Sim,Sim,Não,,Não,Sim,Desbloqueado,Sim,2,Nano-SIM,Sim,Android,10,64 Mpx,7680 px x 4320 px,10 Mpx,f 2.0/f 1.8/f 2.2/f 1.0,3840 px x 2160 px,Não,4500 mAh,Polímero de lítio,Sim,Não,23 h,Sim,Não,Sim,IP68,Exynos 990,"2x2.73 GHz Mongoose M5,2x2.5 GHz Cortex-A76,4x2 GHz Cortex-A55",8,2.73 GHz,Sim,Sim,Sim,Sim,Não,Celular novo com 1 mês de uso vai com a nota Fiscal,1 TB,Sim,4,Não,240 h,4G/LTE,Sim,20 - 9,Não,Sim,Não,Mali-G77 MP11,1,Março,2020,14,One UI 2,64 Mpx/12 Mpx/12 Mpx/0.3 Mpx,1,f 2.2,30x,3x,Não,Não,Sim,Sim,,,,,,,,,,,,,,,,,,,,,,
0,Samsung A21s 64gb,https://produto.mercadolivre.com.br/MLB-1802059627-samsung-a21s-64gb-_JM,Samsung,Galaxy A,A21s Duos,64 GB,4 GB,MicroSD,"6.5 """,HD+,720 px x 1600 px,PLS,,270 ppi,,Sim,Sim,Sim,192 g,163.7 mm x 75.3 mm x 8.9 mm,USB-C,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Desbloqueado,Sim,2,Nano-SIM,Não,Android,10,48 Mpx,1920 px x 1080 px,13 Mpx,f 2.0/f 2.2/f 2.4/f 2.4,1920 px x 1080 px,Não,5000 mAh,Polímero de lítio,Não,Não,54 h,Não,Não,Não,IP68,Exynos 850,8x2 GHz Cortex-A55,8,2 GHz,Sim,Sim,Sim,Não,Não,Samsung A21s 64gb em ótimo estado com todos os acessórios e caixa e NF,512 GB,Sim,4,Não,,4G/LTE,Sim,20 - 9,,Não,Não,Mali-G52,,Junho,2020,,One UI 2,48 Mpx/8 Mpx/2 Mpx/2 Mpx,1,f 2.2,8x,,,Sim,,Sim,Sim,MIUI 12,,,,,,,,,,,,,,,,,,,,
0,Galaxy Note20 256gb + Galaxy Buds - Novos E Lacrados,https://produto.mercadolivre.com.br/MLB-1799463886-galaxy-note20-256gb-galaxy-buds-novos-e-lacrados-_JM,Samsung,Galaxy Note,Note20 5G Duos,256 GB,8 GB,,"6.7 """,Full HD+,1080 px x 2400 px,Super AMOLED Plus,,393 ppi,,Sim,Sim,Sim,192 g,161.6 mm x 75.2 mm x 8.3 mm,USB-C,Sim,Sim,Sim,Sim,,Não,Não,Sim,Desbloqueado,Sim,2,Nano-SIM,,Android,10,64 Mpx,7680 px x 4320 px,10 Mpx,f 2.0/f 2.2/f 1.8,3840 px x 2160 px,,4300 mAh,Íon de lítio,Sim,Não,,Sim,Não,Sim,IP68,,,8,,Sim,Sim,Sim,Sim,Não,"- Produto novo e lacrado Pensado para você O Samsung Note20 5G Duos possui o novo sistema operacional Android 10 que incorpora respostas inteligentes e ações sugeridas para todos os seus aplicativos. Entre as suas várias funcionalidades irá encontrar o tema escuro, a navegação por gestos e o modo livre de distração, para que você possa completar as suas tarefas enquanto desfruta ao máximo do seu dispositivo. Fotografia profissional no seu bolso Descubra infinitas possibilidades para suas fotos com as 3  câmeras principais de sua equipe. Teste sua criatividade e jogue com iluminação, diferentes planos e efeitos para obter ótimos resultados. Seu zoom híbrido é perfeito para aqueles que amam os detalhes, pois integra o melhor do zoom óptico e digital para que você possa se aproximar dele sem perda de qualidade. Experiência visual incrível Assista às suas séries e filmes favoritos com a melhor definição na sua tela Super AMOLED Plus de 6.7 "". Desfrute de cores brilhantes e detalhes precisos em todo o seu conteúdo. Desbloqueio rápido com sua impressão digital Com o sensor de impressão digital, o acesso é seguro e você poderá desbloqueá-lo automaticamente com um toque. Vida útil da bateria mais longa Desconecte-se! Com a super bateria de 4300 mAh você terá energia por muito mais tempo para jogar, assistir séries ou trabalhar sem recarregar.",,Sim,3,Não,240 h,5G,Não,20 - 9,,Sim,,,,Agosto,2020,14,One UI 2.5,64 Mpx/12 Mpx/12 Mpx,1,f 2.2,30x,3x,,Não,Sim,Sim,,,Sim,,,,,,,,,,,,,,,,,,,
0,Celular Samsung J5 Prime,https://produto.mercadolivre.com.br/MLB-1833374609-celular-samsung-j5-prime-_JM,Samsung,Galaxy J,J5 Prime Duos,32 GB,2 GB,MicroSD,"5 """,Full HD+,720 px x 1280 px,TFT,Dot Drop Display,294 ppi,,Sim,Sim,Não,143 g,142.8 mm x 69.5 mm x 8.1 mm,,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Desbloqueado,Sim,2,Nano-SIM,Não,Android,6.0.1 Marshmallow,13 Mpx,1920 px x 1080 px,,f 1.9,1920 px x 1080 px,Não,,Íon de lítio,Não,Não,,Não,Não,,IP67,,,,,Sim,Sim,Não,,Não,"Celular em excelente condições, semi-novo.",256 GB,Sim,1,Não,,4G/LTE,,20 - 9,,,,,,,2016,14,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Celular Smartphone Samsung Galaxy J6+ Sm J610g 32gb Seminovo,https://produto.mercadolivre.com.br/MLB-1791125047-celular-smartphone-samsung-galaxy-j6-sm-j610g-32gb-seminovo-_JM,Samsung,Galaxy J,J6+,32 GB,3 GB,MicroSD,"6 """,Full HD+,720 px x 1480 px,TFT,,274 ppi,625 cd/m²,Sim,Sim,Sim,178 g,161.4 mm x 76.9 mm x 7.9 mm,USB-C,Sim,Sim,Sim,Sim,Não,Sim,Não,Sim,Desbloqueado,Não,1,Nano-SIM,Não,Android,8.1 Oreo,13 Mpx,1920 px x 1080 px,8 Mpx,f 1.9/f 2.2,1920 px x 1080 px,Sim,3300 mAh,Íon de lítio,,Não,23 h,Não,Não,,,Snapdragon 425,4x1.4 GHz Cortex-A53,4,1.4 GHz,Sim,Sim,Sim,,Não,"Smartphone Samsung Galaxy J6+ SM-J610G, Android 8.1 32GB Quad Core Câmera 13MP+5MP Tela 6.0 Celular em perfeito estado, seminovo. Estou vendendo porque meu pai ganhou um novo. Processador:	Quad-Core 1.4GHz Câmera Principal: Dual Câmera 13.0 MP + 5.0 MP (Traseira) Câmera Secundária:	8.0 MP",512 GB,Sim,2,Não,240 h,4G/LTE,,19.5 - 9,,,,Adreno 308,,Setembro,2018,14,,13 Mpx/5 Mpx,1,f 1.9,10x,,,Não,Sim,,,,,SM-J610G,,,,,,,,,,,,,,,,,,
0,Celular Samsung Galaxy A32 Camera Quadrupla De 64mp Tela Inf,https://produto.mercadolivre.com.br/MLB-1859730160-celular-samsung-galaxy-a32-camera-quadrupla-de-64mp-tela-inf-_JM,Samsung,Galaxy,Galaxy A32,128 GB,4 GB,MicroSD,"6.4 """,Full HD+,1080 px x 2400 px,Super AMOLED,Infinity-U Display,411 ppi,800 cd/m²,Sim,Sim,,184 g,171.1 mm x 83.7 mm x 8.4 mm,USB-C,Sim,Sim,Sim,Sim,,,Não,Sim,Desbloqueado,Sim,2,Nano-SIM,,Android,11,64 Mpx,1920 px x 1080 px,20 Mpx,f 1.8/f 2.2/f 2.4/f 2.4,,Não,5000 mAh,Íon de lítio,,Não,34 h,Não,,Não,,MediaTek Helio G80,"2x2 GHz Cortex-A75,6x1.8 GHz Cortex-A55",8,2 GHz,Sim,Sim,Sim,,Não,"Smartphone Samsung Galaxy A32 Câmera Quádrupla de 64MP Tela Infinita de 6,4 128GB 4GB Branco               Smartphone Samsung Galaxy A32 Câmera Quádrupla de 64MP Tela Infinita de 6,4 128GB 4GB Branco Smartphone Samsung Galaxy A32 design diferenciado e tela infinita de 6,4, se destaca com sua câmera traseira quadrupla, uma bateria de 5.000 mAh para você usufruir de extensas horas de uso e aproveitar o dia todo, e ainda carregar rapidamente com a carregamento rápido processador Octa Core avançado e eficaz com velocidade de 2GHz, baixe ainda mais com 128GB de armazenamento interno. O Smartphone Samsung Galaxy A32 possui Zoom Digital de 8x em sua câmera traseira e Flash-LED para ver ainda mais e com nitidez. Características  Câmera Quádrupla Traseira de 64MP + 8MP 5MP 2MP 128GB de Memória Interna(*) e 4GB RAM		 Dual Chip, Dual Messenger Bateria de 5.000mAh	 Tela Infinita de 6.4					 Selfie de 20MP					 Sistema Operacional  Android | 11.0 Processador  Octa Core 2GHz Conectividade  Google Chrome Samsung S-Browser 11.0 Tipo de SIM Nano-SIM (4FF) Sensores  Sensor Geomagnético Proximidade Luminosidade Acelerômetro Giroscópio Sensor Hall Tecnologia  Super AMOLED Tamanho do Display 6.4  Conteúdo da embalagem: Extrator de Chip  Manual do usuário  Aparelho celular Carregador Cabo USB Dimensões do produto com embalagem: - Altura: 171,1 mm - Largura: 83,7 mm  - Profundidade: 51,7 mm - Peso: 0,394 Kg Garantia:  - 12 meses               ESPECIFICAÇÕES",1 TB,Sim,4,Não,,4G/LTE,Sim,20 - 9,,,,Mali-G52 MC2,,Fevereiro,2021,,One UI 3.0,64 Mpx/8 Mpx/5 Mpx/5 Mpx,1,f 2.2,8x,,,Sim,Sim,Sim,Sim,MIUI 12,,,90 Hz,"HDR,Panorama,LED flash",,,,,,,,,,,,,,,,
0,Vendo Um Gran Duos Por 500,https://produto.mercadolivre.com.br/MLB-688430074-vendo-um-gran-duos-por-500-_JM,Samsung,Galaxy Grand,Grand Duos,,,,,,,,,,,,,,,,,,,,,,,,Sim,,Sim,,,,Android,,,,,,,,,,,,,,,,,,,,,,,,,,ele esta conservado alguns arranhões na lateral nada demais tela novinha com pelicola e capinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Smartphone Samsung Galaxy Note 5,https://produto.mercadolivre.com.br/MLB-780061065-smartphone-samsung-galaxy-note-5-_JM,Samsung,Galaxy Note,Note5,,,,"5.7 """,,1440 px x 2560 px,Super AMOLED,,515 ppi,,Sim,Sim,,171 g,153.2 mm x 76.1 mm x 7.6 mm,,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,,Não,1,Nano-SIM,Não,Android,5.1.1 Lollipop,16 Mpx,3840 px x 2160 px,5 Mpx,f 1.9,2560 px x 1440 px,Não,3000 mAh,Íon de lítio,,Não,22 h,Não,Não,,,Exynos 7420,"4x2.1 GHz Cortex-A57,4x1.5 GHz Cortex-A53",8,2.1 GHz,Sim,Sim,Sim,,,"Vendo Samsung Galaxy Note 5 32gb Dourado. Novo na caixa com Nota Fiscal e Garantia até Janeiro de 2017. Pode retirar em mãos. Acompanha Todos os Acessórios Originais!!! APARELHO IMPECÁVEL. SEM O MENOR DETALHE. Fique a vontade para perguntar.  Obrigado",,Sim,1,Não,,4G/LTE,,,,Não,,Mali-T760 MP8,,,2015,,,,1,f 1.9,8x,,,,,,,,Sim,,,,,,,,,,,,,,,,,,,
